Ticker,Historical Vol Past 1 Year,Volume_Ratio,Avg_Volume_20d,Price_Change_1d,Price_Change_5d,Price_Change_20d,Options_Proxy,Put_Call_Proxy,Short_Ratio,Short_Percent,Volume_Score,Price_Change_Score,Relative_Strength_Score,Historical_Vol_Score,Options_Score,Short_Squeeze_Score,Composite_Score,Rank
ABBV,0.28,1.07,5178380.0,0.53,1.89,10.68,100.0,1.28,2.68,0.01,100.0,90.0,100.0,45.0,53.5,41.5,78.75,1.0
A,0.31,1.03,1250435.0,3.82,2.04,1.21,100.0,1.41,1.69,0.01,90.0,80.0,50.0,70.0,47.5,31.5,66.4,2.0
MMM,0.29,0.59,3313040.0,2.81,4.15,4.92,100.0,0.52,2.28,0.02,15.0,100.0,80.0,60.0,68.5,63.0,66.15,3.0
AFL,0.22,0.86,2594235.0,0.25,3.48,5.5,100.0,1.05,3.46,0.01,80.0,60.0,90.0,15.0,59.5,55.5,62.75,4.0
AES,0.49,0.69,9361960.0,4.01,1.35,-0.92,100.0,1.17,1.74,0.05,50.0,50.0,30.0,90.0,56.5,68.0,54.45,5.0
ADBE,0.35,0.81,3793135.0,2.45,2.04,-2.33,100.0,0.67,2.98,0.02,70.0,30.0,20.0,80.0,65.5,67.0,50.75,6.0
AOS,0.25,0.59,1149055.0,2.59,1.94,2.64,100.0,0.9,1.73,0.03,15.0,70.0,60.0,30.0,62.5,61.5,49.4,7.0
ABT,0.22,0.73,5690885.0,0.45,0.64,4.78,100.0,1.38,2.44,0.01,60.0,40.0,70.0,15.0,50.5,34.5,46.75,8.0
AMD,0.52,0.62,70978930.0,2.47,-5.49,0.77,100.0,1.5,0.79,0.03,30.0,10.0,40.0,100.0,41.5,47.5,40.4,9.0
ACN,0.28,0.63,4908790.0,2.06,4.94,-8.45,100.0,1.45,3.49,0.02,40.0,20.0,10.0,45.0,44.5,80.0,34.2,10.0
